english,french
The cats wait.,Les chats attendent.
The cats smile.,Les chats sourient.
The cats sing.,Les chats chantent.
The cats work.,Les chats travaillent.
The cats listen.,Les chats écoutent.
The dogs run.,Les chiens courent.
The dogs walk.,Les chiens marchent.
The dogs sleep.,Les chiens dorment.
The dogs read.,Les chiens lisent.
The dogs write.,Les chiens écrivent.
The dogs wait.,Les chiens attendent.
The dogs smile.,Les chiens sourient.
The dogs sing.,Les chiens chantent.
The dogs work.,Les chiens travaillent.
The dogs listen.,Les chiens écoutent.
The birds run.,Les oiseaux courent.
The birds walk.,Les oiseaux marchent.
The birds sleep.,Les oiseaux dorment.
The birds read.,Les oiseaux lisent.
The birds write.,Les oiseaux écrivent.
The birds wait.,Les oiseaux attendent.
The birds smile.,Les oiseaux sourient.
The birds sing.,Les oiseaux chantent.
The birds work.,Les oiseaux travaillent.
The birds listen.,Les oiseaux écoutent.
The rabbits run.,Les lapins courent.
The rabbits walk.,Les lapins marchent.
The rabbits sleep.,Les lapins dorment.
The rabbits read.,Les lapins lisent.
The rabbits write.,Les lapins écrivent.
The rabbits wait.,Les lapins attendent.
The rabbits smile.,Les lapins sourient.
The rabbits sing.,Les lapins chantent.
The rabbits work.,Les lapins travaillent.
The rabbits listen.,Les lapins écoutent.
The horses run.,Les chevaux courent.
The horses walk.,Les chevaux marchent.
The horses sleep.,Les chevaux dorment.
The horses read.,Les chevaux lisent.
The horses write.,Les chevaux écrivent.
The horses wait.,Les chevaux attendent.
The horses smile.,Les chevaux sourient.
The horses sing.,Les chevaux chantent.
The horses work.,Les chevaux travaillent.
The horses listen.,Les chevaux écoutent.
The children run.,Les enfants courent.
The children walk.,Les enfants marchent.
The children sleep.,Les enfants dorment.
The children read.,Les enfants lisent.
The children write.,Les enfants écrivent.
The children wait.,Les enfants attendent.
The children smile.,Les enfants sourient.
The children sing.,Les enfants chantent.
The children work.,Les enfants travaillent.
The children listen.,Les enfants écoutent.
The teachers run.,Les professeurs courent.
The teachers walk.,Les professeurs marchent.
The teachers sleep.,Les professeurs dorment.
The teachers read.,Les professeurs lisent.
The teachers write.,Les professeurs écrivent.
The teachers wait.,Les professeurs attendent.
The teachers smile.,Les professeurs sourient.
The teachers sing.,Les professeurs chantent.
The teachers work.,Les professeurs travaillent.
The teachers listen.,Les professeurs écoutent.
The doctors run.,Les médecins courent.
The doctors walk.,Les médecins marchent.
The doctors sleep.,Les médecins dorment.
The doctors read.,Les médecins lisent.
The doctors write.,Les médecins écrivent.
The doctors wait.,Les médecins attendent.
The doctors smile.,Les médecins sourient.
The doctors sing.,Les médecins chantent.
The doctors work.,Les médecins travaillent.
The doctors listen.,Les médecins écoutent.
The friends run.,Les amis courent.
The friends walk.,Les amis marchent.
The friends sleep.,Les amis dorment.
The friends read.,Les amis lisent.
The friends write.,Les amis écrivent.
The friends wait.,Les amis attendent.
The friends smile.,Les amis sourient.
The friends sing.,Les amis chantent.
The friends work.,Les amis travaillent.
The friends listen.,Les amis écoutent.
The students run.,Les étudiants courent.
The students walk.,Les étudiants marchent.
The students sleep.,Les étudiants dorment.
The students read.,Les étudiants lisent.
The students write.,Les étudiants écrivent.
The students wait.,Les étudiants attendent.
The students smile.,Les étudiants sourient.
The students sing.,Les étudiants chantent.
The students work.,Les étudiants travaillent.
The students listen.,Les étudiants écoutent.
Is the cat in the garden?,Le chat est-il dans le jardin ?
Is the cat at home?,Le chat est-il à la maison ?
Is the cat in the school?,Le chat est-il dans l'école ?
Is the cat in the park?,Le chat est-il dans le parc ?
Is the cat in the kitchen?,Le chat est-il dans la cuisine ?
Is the cat in the room?,Le chat est-il dans la chambre ?
Is the cat on the street?,Le chat est-il dans la rue ?
Is the cat at the station?,Le chat est-il à la gare ?
Is the cat in the village?,Le chat est-il dans le village ?
Is the cat near the river?,Le chat est-il près de la rivière ?
Is the dog in the garden?,Le chien est-il dans le jardin ?
Is the dog at home?,Le chien est-il à la maison ?
Is the dog in the school?,Le chien est-il dans l'école ?
Is the dog in the park?,Le chien est-il dans le parc ?
Is the dog in the kitchen?,Le chien est-il dans la cuisine ?
Is the dog in the room?,Le chien est-il dans la chambre ?
Is the dog on the street?,Le chien est-il dans la rue ?
Is the dog at the station?,Le chien est-il à la gare ?
Is the dog in the village?,Le chien est-il dans le village ?
Is the dog near the river?,Le chien est-il près de la rivière ?
Is the bird in the garden?,L'oiseau est-il dans le jardin ?
Is the bird at home?,L'oiseau est-il à la maison ?
Is the bird in the school?,L'oiseau est-il dans l'école ?
Is the bird in the park?,L'oiseau est-il dans le parc ?
Is the bird in the kitchen?,L'oiseau est-il dans la cuisine ?
Is the bird in the room?,L'oiseau est-il dans la chambre ?
Is the bird on the street?,L'oiseau est-il dans la rue ?
Is the bird at the station?,L'oiseau est-il à la gare ?
Is the bird in the village?,L'oiseau est-il dans le village ?
Is the bird near the river?,L'oiseau est-il près de la rivière ?
Is the rabbit in the garden?,Le lapin est-il dans le jardin ?
Is the rabbit at home?,Le lapin est-il à la maison ?
Is the rabbit in the school?,Le lapin est-il dans l'école ?
Is the rabbit in the park?,Le lapin est-il dans le parc ?
Is the rabbit in the kitchen?,Le lapin est-il dans la cuisine ?
Is the rabbit in the room?,Le lapin est-il dans la chambre ?
Is the rabbit on the street?,Le lapin est-il dans la rue ?
Is the rabbit at the station?,Le lapin est-il à la gare ?
Is the rabbit in the village?,Le lapin est-il dans le village ?
Is the rabbit near the river?,Le lapin est-il près de la rivière ?
Is the horse in the garden?,Le cheval est-il dans le jardin ?
Is the horse at home?,Le cheval est-il à la maison ?
Is the horse in the school?,Le cheval est-il dans l'école ?
Is the horse in the park?,Le cheval est-il dans le parc ?
Is the horse in the kitchen?,Le cheval est-il dans la cuisine ?
Is the horse in the room?,Le cheval est-il dans la chambre ?
Is the horse on the street?,Le cheval est-il dans la rue ?
Is the horse at the station?,Le cheval est-il à la gare ?
Is the horse in the village?,Le cheval est-il dans le village ?
Is the horse near the river?,Le cheval est-il près de la rivière ?
Is the child in the garden?,L'enfant est-il dans le jardin ?
Is the child at home?,L'enfant est-il à la maison ?
Is the child in the school?,L'enfant est-il dans l'école ?
Is the child in the park?,L'enfant est-il dans le parc ?
Is the child in the kitchen?,L'enfant est-il dans la cuisine ?
Is the child in the room?,L'enfant est-il dans la chambre ?
Is the child on the street?,L'enfant est-il dans la rue ?
Is the child at the station?,L'enfant est-il à la gare ?
Is the child in the village?,L'enfant est-il dans le village ?
Is the child near the river?,L'enfant est-il près de la rivière ?
Is the teacher in the garden?,Le professeur est-il dans le jardin ?
Is the teacher at home?,Le professeur est-il à la maison ?
Is the teacher in the school?,Le professeur est-il dans l'école ?
Is the teacher in the park?,Le professeur est-il dans le parc ?
Is the teacher in the kitchen?,Le professeur est-il dans la cuisine ?
Is the teacher in the room?,Le professeur est-il dans la chambre ?
Is the teacher on the street?,Le professeur est-il dans la rue ?
Is the teacher at the station?,Le professeur est-il à la gare ?
Is the teacher in the village?,Le professeur est-il dans le village ?
Is the teacher near the river?,Le professeur est-il près de la rivière ?
Is the doctor in the garden?,Le médecin est-il dans le jardin ?
Is the doctor at home?,Le médecin est-il à la maison ?
Is the doctor in the school?,Le médecin est-il dans l'école ?
Is the doctor in the park?,Le médecin est-il dans le parc ?
Is the doctor in the kitchen?,Le médecin est-il dans la cuisine ?
Is the doctor in the room?,Le médecin est-il dans la chambre ?
Is the doctor on the street?,Le médecin est-il dans la rue ?
Is the doctor at the station?,Le médecin est-il à la gare ?
Is the doctor in the village?,Le médecin est-il dans le village ?
Is the doctor near the river?,Le médecin est-il près de la rivière ?
Is the friend in the garden?,L'ami est-il dans le jardin ?
Is the friend at home?,L'ami est-il à la maison ?
Is the friend in the school?,L'ami est-il dans l'école ?
Is the friend in the park?,L'ami est-il dans le parc ?
Is the friend in the kitchen?,L'ami est-il dans la cuisine ?
Is the friend in the room?,L'ami est-il dans la chambre ?
Is the friend on the street?,L'ami est-il dans la rue ?
Is the friend at the station?,L'ami est-il à la gare ?
Is the friend in the village?,L'ami est-il dans le village ?
Is the friend near the river?,L'ami est-il près de la rivière ?
Is the student in the garden?,L'étudiant est-il dans le jardin ?
Is the student at home?,L'étudiant est-il à la maison ?
Is the student in the school?,L'étudiant est-il dans l'école ?
Is the student in the park?,L'étudiant est-il dans le parc ?
Is the student in the kitchen?,L'étudiant est-il dans la cuisine ?
Is the student in the room?,L'étudiant est-il dans la chambre ?
Is the student on the street?,L'étudiant est-il dans la rue ?
Is the student at the station?,L'étudiant est-il à la gare ?
Is the student in the village?,L'étudiant est-il dans le village ?
Is the student near the river?,L'étudiant est-il près de la rivière ?
The cat is happy.,Le chat est heureux.
The cat is tired.,Le chat est fatigué.
The cat is ready.,Le chat est prêt.
The cat is calm.,Le chat est calme.
The cat is busy.,Le chat est occupé.
The cat is kind.,Le chat est gentil.
The cat is quiet.,Le chat est silencieux.
The cat is strong.,Le chat est fort.
The cat is young.,Le chat est jeune.
The cat is safe.,Le chat est en sécurité.
The dog is happy.,Le chien est heureux.
The dog is tired.,Le chien est fatigué.
The dog is ready.,Le chien est prêt.
The dog is calm.,Le chien est calme.
The dog is busy.,Le chien est occupé.
The dog is kind.,Le chien est gentil.
The dog is quiet.,Le chien est silencieux.
The dog is strong.,Le chien est fort.
The dog is young.,Le chien est jeune.
The dog is safe.,Le chien est en sécurité.
The bird is happy.,L'oiseau est heureux.
The bird is tired.,L'oiseau est fatigué.
The bird is ready.,L'oiseau est prêt.
The bird is calm.,L'oiseau est calme.
The bird is busy.,L'oiseau est occupé.
The bird is kind.,L'oiseau est gentil.
The bird is quiet.,L'oiseau est silencieux.
The bird is strong.,L'oiseau est fort.
The bird is young.,L'oiseau est jeune.
The bird is safe.,L'oiseau est en sécurité.
The rabbit is happy.,Le lapin est heureux.
The rabbit is tired.,Le lapin est fatigué.
The rabbit is ready.,Le lapin est prêt.
The rabbit is calm.,Le lapin est calme.
The rabbit is busy.,Le lapin est occupé.
The rabbit is kind.,Le lapin est gentil.
The rabbit is quiet.,Le lapin est silencieux.
The rabbit is strong.,Le lapin est fort.
The rabbit is young.,Le lapin est jeune.
The rabbit is safe.,Le lapin est en sécurité.
The horse is happy.,Le cheval est heureux.
The horse is tired.,Le cheval est fatigué.
The horse is ready.,Le cheval est prêt.
The horse is calm.,Le cheval est calme.
The horse is busy.,Le cheval est occupé.
The horse is kind.,Le cheval est gentil.
The horse is quiet.,Le cheval est silencieux.
The horse is strong.,Le cheval est fort.
The horse is young.,Le cheval est jeune.
The horse is safe.,Le cheval est en sécurité.
The child is happy.,L'enfant est heureux.
The child is tired.,L'enfant est fatigué.
The child is ready.,L'enfant est prêt.
The child is calm.,L'enfant est calme.
The child is busy.,L'enfant est occupé.
The child is kind.,L'enfant est gentil.
The child is quiet.,L'enfant est silencieux.
The child is strong.,L'enfant est fort.
The child is young.,L'enfant est jeune.
The child is safe.,L'enfant est en sécurité.
The teacher is happy.,Le professeur est heureux.
The teacher is tired.,Le professeur est fatigué.
The teacher is ready.,Le professeur est prêt.
The teacher is calm.,Le professeur est calme.
The teacher is busy.,Le professeur est occupé.
The teacher is kind.,Le professeur est gentil.
The teacher is quiet.,Le professeur est silencieux.
The teacher is strong.,Le professeur est fort.
The teacher is young.,Le professeur est jeune.
The teacher is safe.,Le professeur est en sécurité.
The doctor is happy.,Le médecin est heureux.
The doctor is tired.,Le médecin est fatigué.
The doctor is ready.,Le médecin est prêt.
The doctor is calm.,Le médecin est calme.
The doctor is busy.,Le médecin est occupé.
The doctor is kind.,Le médecin est gentil.
The doctor is quiet.,Le médecin est silencieux.
The doctor is strong.,Le médecin est fort.
The doctor is young.,Le médecin est jeune.
The doctor is safe.,Le médecin est en sécurité.
The friend is happy.,L'ami est heureux.
The friend is tired.,L'ami est fatigué.
The friend is ready.,L'ami est prêt.
The friend is calm.,L'ami est calme.
The friend is busy.,L'ami est occupé.
The friend is kind.,L'ami est gentil.
The friend is quiet.,L'ami est silencieux.
The friend is strong.,L'ami est fort.
The friend is young.,L'ami est jeune.
The friend is safe.,L'ami est en sécurité.
The student is happy.,L'étudiant est heureux.
The student is tired.,L'étudiant est fatigué.
The student is ready.,L'étudiant est prêt.
The student is calm.,L'étudiant est calme.
The student is busy.,L'étudiant est occupé.
The student is kind.,L'étudiant est gentil.
The student is quiet.,L'étudiant est silencieux.
The student is strong.,L'étudiant est fort.
